position,wealth,category,full_name,age,country_of_residence,city_of_residence,source,citizenship,organization,gender,birth_date,last_name,first_name,title,residence_state,residence_region,birth_year,birth_month,birth_day,cpi_country,cpi_change_country,gdp_country,g_tertiary_ed_enroll,g_primary_ed_enroll,life_expectancy,tax_revenue,tax_rate,country_pop,country_lat,country_long,continent
38,33400,Automotive,Robin Zeng,54,China,Ningde,Batteries,Hong Kong,Unknown,M,1969-01-01,Zeng,Robin,Unknown,No subdivisions info,No subdivisions info,1969,1,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
39,32600,Fashion & Retail,Tadashi Yanai & family,74,Japan,Tokyo,Fashion retail,Japan,Unknown,M,1949-02-07,Yanai,Tadashi,Unknown,No subdivisions info,No subdivisions info,1949,2,7,105.48,0.5,5081769542380,63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924,Asia
40,32100,Diversified,Len Blavatnik,65,United Kingdom,London,"Music, chemicals",United States,Unknown,M,1957-06-01,Blavatnik,Len,Unknown,No subdivisions info,No subdivisions info,1957,6,1,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973,Europe
41,31600,Fashion & Retail,Alain Wertheimer,74,United States,New York,Chanel,France,Unknown,M,1948-08-28,Wertheimer,Alain,Unknown,New York,Northeast,1948,8,28,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
41,31600,Fashion & Retail,Gerard Wertheimer,72,United States,New York,Chanel,France,Unknown,M,1951-01-09,Wertheimer,Gerard,Unknown,New York,Northeast,1951,1,9,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
43,31200,Logistics,Gianluigi Aponte,82,Switzerland,Geneva,Shipping,Switzerland,Unknown,M,1940-06-27,Aponte,Gianluigi,Unknown,No subdivisions info,No subdivisions info,1940,6,27,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,Europe
43,31200,Logistics,Rafaela Aponte-Diamant,78,Switzerland,Geneva,Shipping,Switzerland,Unknown,F,1945-03-26,Aponte-Diamant,Rafaela,Unknown,No subdivisions info,No subdivisions info,1945,3,26,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,Europe
45,30200,Technology,Colin Zheng Huang,43,China,Shanghai,E-commerce,China,Unknown,M,1980-02-02,Huang,Colin Zheng,Unknown,No subdivisions info,No subdivisions info,1980,2,2,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
46,29700,Manufacturing,Reinhold Wuerth & family,87,Germany,Kuenzelsau,Fasteners,Germany,Unknown,M,1935-04-20,Wuerth,Reinhold,Unknown,No subdivisions info,No subdivisions info,1935,4,20,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799,51.165691,10.451526,Europe
47,29500,Real Estate,Lee Shau Kee,95,Hong Kong,Hong Kong,Real estate,Hong Kong,Unknown,M,1928-01-29,Lee,Shau Kee,Unknown,No subdivisions info,No subdivisions info,1928,1,29,No CPI info,No CPI info,368911387845,50.6,100.2,85.5,9.4,59.2,7413100,22.396428,114.109497,Asia
48,28500,Finance & Investments,Jeff Yass,64,United States,Haverford,"Trading, investments",United States,Unknown,M,1958-07-17,Yass,Jeff,Unknown,Pennsylvania,Northeast,1958,7,17,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
49,28100,Finance & Investments,Jim Simons,84,United States,East Setauket,Hedge funds,United States,Renaissance Technologies Corp.,M,1938-04-25,Simons,Jim,Founder,New York,Northeast,1938,4,25,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
50,27800,Finance & Investments,Stephen Schwarzman,76,United States,New York,Investments,United States,Blackstone Group,M,1947-02-14,Schwarzman,Stephen,Chairman and CEO,New York,Northeast,1947,2,14,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
51,27400,Automotive,Susanne Klatten,60,Germany,Bad Homburg,"BMW, pharmaceuticals",Germany,Unknown,F,1962-04-28,Klatten,Susanne,Unknown,No subdivisions info,No subdivisions info,1962,4,28,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799,51.165691,10.451526,Europe
52,27000,Metals & Mining,Gina Rinehart,69,Australia,Perth,Mining,Australia,Hancock Prospecting,F,1954-02-09,Rinehart,Gina,Executive Chairman,No subdivisions info,No subdivisions info,1954,2,9,119.8,1.6,1392680589329,113.1,100.3,82.7,23.0,47.4,25766605,-25.274398,133.775136,Oceania
53,26700,Technology,William Ding,51,China,Hangzhou,Online games,China,Unknown,M,1971-10-01,Ding,William,Unknown,No subdivisions info,No subdivisions info,1971,10,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
54,26600,Metals & Mining,Germán Larrea Mota Velasco & family,69,Mexico,Mexico City,Mining,Mexico,Unknown,M,1953-10-26,Larrea Mota Velasco,Germán,Unknown,No subdivisions info,No subdivisions info,1953,10,26,141.54,3.6,1258286717125,40.2,105.8,75.0,13.1,55.1,126014024,23.634501,-102.552784,North America
55,25600,Technology,Shiv Nadar,77,India,Delhi,software services,India,Unknown,M,1945-07-18,Nadar,Shiv,Unknown,No subdivisions info,No subdivisions info,1945,7,18,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754,20.593684,78.96288,Asia
56,25500,Energy,Low Tuck Kwong,74,Indonesia,Jakarta,Coal,Indonesia,Unknown,M,1948-04-17,Low Tuck,Kwong,Unknown,No subdivisions info,No subdivisions info,1948,4,17,151.18,3.0,1119190780753,36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327,Asia
57,25300,Finance & Investments,Thomas Peterffy,78,United States,Palm Beach,Discount brokerage,United States,Unknown,M,1944-09-30,Peterffy,Thomas,Unknown,Florida,South,1944,9,30,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
58,25200,Metals & Mining,Andrey Melnichenko & family,51,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Russia,Unknown,M,1972-03-08,Melnichenko,Andrey,Unknown,No subdivisions info,No subdivisions info,1972,3,8,114.52,-1.9,421142267938,36.8,108.4,77.8,0.1,15.9,9770529,23.424076,53.847818,Asia
59,24600,Automotive,Stefan Quandt,56,Germany,Frankfurt,BMW,Germany,Unknown,M,1966-05-09,Quandt,Stefan,Unknown,No subdivisions info,No subdivisions info,1966,5,9,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799,51.165691,10.451526,Europe
60,24400,Technology,MacKenzie Scott,52,United States,Seattle,Amazon,United States,Unknown,F,1970-04-07,Scott,MacKenzie,Philanthropist,Washington,West,1970,4,7,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
61,24200,Finance & Investments,R. Budi Hartono,82,Indonesia,Kudus,"Banking, tobacco",Indonesia,Unknown,M,1941-01-01,Hartono,R. Budi,Unknown,No subdivisions info,No subdivisions info,1941,1,1,151.18,3.0,1119190780753,36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327,Asia
62,23700,Metals & Mining,Vladimir Potanin,62,Russia,Moscow,Metals,Russia,Unknown,M,1961-01-03,Potanin,Vladimir,Unknown,No subdivisions info,No subdivisions info,1961,1,3,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756,Europe
63,23500,Technology,Jack Ma,58,China,Hangzhou,E-commerce,China,Unknown,M,1964-09-10,Ma,Jack,Unknown,No subdivisions info,No subdivisions info,1964,9,10,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
64,23400,Manufacturing,He Xiangjian & family,80,China,Foshan,Home appliances,China,Unknown,M,1942-08-11,He,Xiangjian,Unknown,No subdivisions info,No subdivisions info,1942,8,11,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
65,23100,Metals & Mining,Iris Fontbona & family,80,Chile,Santiago,Mining,Chile,Unknown,F,1943-01-01,Fontbona,Iris,Unknown,No subdivisions info,No subdivisions info,1943,1,1,131.91,2.6,282318159745,88.5,101.4,80.0,18.2,34.0,18952038,-35.675147,-71.542969,South America
65,23100,Manufacturing,Michael Hartono,83,Indonesia,Kudus,"Banking, tobacco",Indonesia,Unknown,M,1939-10-02,Hartono,Michael,Unknown,No subdivisions info,No subdivisions info,1939,10,2,151.18,3.0,1119190780753,36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327,Asia
67,22900,Manufacturing,James Ratcliffe,70,United Kingdom,London,Chemicals,United Kingdom,Unknown,M,1953-01-01,Ratcliffe,James,Unknown,No subdivisions info,No subdivisions info,1953,1,1,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973,Europe
68,22600,Healthcare,Cyrus Poonawalla,81,India,Pune,Vaccines,India,Unknown,M,1941-05-11,Poonawalla,Cyrus,Unknown,No subdivisions info,No subdivisions info,1941,5,11,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754,20.593684,78.96288,Asia
69,22400,Telecom,Masayoshi Son,65,Japan,Tokyo,"Internet, telecom",Japan,SoftBank Group Corp.,M,1957-08-11,Son,Masayoshi,CEO,No subdivisions info,No subdivisions info,1957,8,11,105.48,0.5,5081769542380,63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924,Asia
70,22100,Metals & Mining,Vladimir Lisin,66,Russia,Moscow,"Steel, transport",Russia,Unknown,M,1956-05-07,Lisin,Vladimir,Unknown,No subdivisions info,No subdivisions info,1956,5,7,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756,Europe
71,22000,Food & Beverage,Emmanuel Besnier,52,France,Laval,Cheese,France,Unknown,M,1970-09-18,Besnier,Emmanuel,Unknown,No subdivisions info,No subdivisions info,1970,9,18,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749,Europe
72,21600,Finance & Investments,Abigail Johnson,61,United States,Milton,Fidelity,United States,Fidelity Investments,F,1961-12-19,Johnson,Abigail,CEO,Massachusetts,Northeast,1961,12,19,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
72,21600,Energy,Leonid Mikhelson & family,67,Russia,Moscow,"Gas, chemicals",Russia,Unknown,M,1955-08-11,Mikhelson,Leonid,Unknown,No subdivisions info,No subdivisions info,1955,8,11,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756,Europe
74,21200,Fashion & Retail,Lukas Walton,36,United States,Chicago,Walmart,United States,Unknown,M,1986-09-19,Walton,Lukas,Unknown,Illinois,Midwest,1986,9,19,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
74,21200,Service,Wang Wei,52,China,Shenzhen,Package delivery,China,Unknown,M,1970-10-01,Wang,Wei,Unknown,No subdivisions info,No subdivisions info,1970,10,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
76,21100,Technology,Jensen Huang,60,United States,Los Altos,Semiconductors,United States,Nvidia,M,1963-02-17,Huang,Jensen,CEO & President,California,West,1963,2,17,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
77,21000,Fashion & Retail,Leonard Lauder,90,United States,New York,Estee Lauder,United States,The Estée Lauder Companies,M,1933-03-19,Lauder,Leonard,Chairman Emeritus,New York,Northeast,1933,3,19,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
77,21000,Manufacturing,Takemitsu Takizaki,77,Japan,Osaka,Sensors,Japan,Unknown,M,1945-06-10,Takizaki,Takemitsu,Unknown,No subdivisions info,No subdivisions info,1945,6,10,105.48,0.5,5081769542380,63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924,Asia
79,20900,Metals & Mining,Alexey Mordashov & family,57,Russia,Moscow,"Steel, investments",Russia,Unknown,M,1965-09-26,Mordashov,Alexey,Unknown,No subdivisions info,No subdivisions info,1965,9,26,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756,Europe
80,20500,Energy,Vagit Alekperov,72,Russia,Moscow,Oil,Russia,Unknown,M,1950-09-01,Alekperov,Vagit,Unknown,No subdivisions info,No subdivisions info,1950,9,1,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756,Europe
81,20200,Healthcare,"Thomas Frist, Jr. & family",84,United States,Nashville,Hospitals,United States,Unknown,M,1938-08-12,Frist,Thomas,Unknown,Tennessee,South,1938,8,12,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
82,19600,Metals & Mining,Andrew Forrest,61,Australia,Perth,Mining,Australia,Unknown,M,1961-11-18,Forrest,Andrew,Unknown,No subdivisions info,No subdivisions info,1961,11,18,119.8,1.6,1392680589329,113.1,100.3,82.7,23.0,47.4,25766605,-25.274398,133.775136,Oceania
83,19100,Finance & Investments,Ray Dalio,73,United States,Greenwich,Hedge funds,United States,Bridgewater Associates,M,1949-08-08,Dalio,Ray,Founder & Co-Chief Investment Officer,Connecticut,Northeast,1949,8,8,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
84,19000,Automotive,Eric Li,59,China,Hangzhou,Automobiles,China,Unknown,M,1963-06-01,Li,Eric,Unknown,No subdivisions info,No subdivisions info,1963,6,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
84,19000,Metals & Mining,Wang Wenyin,55,China,Shenzhen,"Mining, copper products",China,Unknown,M,1968-03-01,Wang,Wenyin,Unknown,No subdivisions info,No subdivisions info,1968,3,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
86,18900,Diversified,Eyal Ofer,72,Monaco,Monte Carlo,"Real estate, shipping",Israel,Unknown,M,1950-06-02,Ofer,Eyal,Unknown,No subdivisions info,No subdivisions info,1950,6,2,No CPI info,No CPI info,7184844193,67.0,102.6,85.9,14.2,46.2,38964,43.7384176,7.4246158,Europe
86,18900,Food & Beverage,Qin Yinglin,57,China,Nanyang,Pig breeding,China,Unknown,M,1965-04-17,Qin,Yinglin,Unknown,No subdivisions info,No subdivisions info,1965,4,17,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
88,18700,Automotive,Wang Chuanfu,57,China,Shenzhen,"Batteries, automobiles",China,Unknown,M,1966-02-15,Wang,Chuanfu,Unknown,No subdivisions info,No subdivisions info,1966,2,15,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
89,18500,Energy,Harold Hamm & family,77,United States,Oklahoma City,Oil & gas,United States,Continental Resources Inc. ,M,1945-12-11,Hamm,Harold,Chairman and CEO,Oklahoma,South,1945,12,11,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
89,18500,Finance & Investments,David Tepper,65,United States,Palm Beach,Hedge funds,United States,Appaloosa Management,M,1957-09-11,Tepper,David,President and Founder,Florida,South,1957,9,11,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
89,18500,Energy,Gennady Timchenko,70,Russia,Moscow,"Oil, gas",Russia,Unknown,M,1952-11-09,Timchenko,Gennady,Unknown,No subdivisions info,No subdivisions info,1952,11,9,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756,Europe
92,18000,Finance & Investments,Daniel Gilbert,61,United States,Franklin,Quicken Loans,United States,Unknown,M,1962-01-17,Gilbert,Daniel,Unknown,Michigan,Midwest,1962,1,17,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
93,17700,Metals & Mining,Lakshmi Mittal,72,United Kingdom,London,Steel,India,ArcelorMittal (ADR),M,1950-06-15,Mittal,Lakshmi,Chairman and CEO,No subdivisions info,No subdivisions info,1950,6,15,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973,Europe
